,NTS_max,NTS_avg,ontLevel
0,7697.0,7244.666666666667,75.93
1,7697.0,7244.666666666667,75.92
2,7697.0,7244.666666666667,75.92
3,8837.0,7244.666666666667,76.05
4,8837.0,7244.666666666667,76.02
5,8837.0,6310.0,75.87
6,8837.0,6310.0,75.87
7,8837.0,6310.0,75.89
8,8837.0,6310.0,75.89
9,9407.0,6310.0,75.95
10,9407.0,6310.0,75.95
11,9407.0,6310.0,75.95
12,9407.0,6310.0,75.95
13,9407.0,6310.0,75.95
14,9407.0,7244.666666666667,76.08
15,9407.0,7244.666666666667,76.08
16,9407.0,7244.666666666667,76.06
17,8267.0,7244.666666666667,76.0
18,7697.0,6777.333333333333,75.86
19,8837.0,6777.333333333333,75.95
20,8837.0,7712.0,76.16
21,8837.0,7712.0,76.16
22,8837.0,7712.0,76.17
23,8837.0,7712.0,76.17
24,8837.0,7712.0,76.17
25,8837.0,7712.0,76.17
26,8837.0,7712.0,76.16
27,9407.0,6777.333333333333,76.01
28,9407.0,6777.333333333333,75.97
29,9407.0,6777.333333333333,75.97
30,9407.0,6777.333333333333,75.95
31,9407.0,6777.333333333333,75.95
32,9407.0,6777.333333333333,75.95
33,8267.0,6777.333333333333,75.86
34,8267.0,6777.333333333333,75.86
35,8267.0,7712.0,76.16
36,7697.0,6310.0,75.86
37,7697.0,6310.0,75.86
38,8837.0,6310.0,75.86
39,8837.0,6310.0,75.86
40,8837.0,6310.0,75.86
41,8837.0,7244.666666666667,76.05
42,8837.0,7244.666666666667,76.07
43,8837.0,7244.666666666667,76.07
44,8837.0,7244.666666666667,76.07
